amt,date,medallion
686468.88,2013-08-14,89EDAF45090C74611B52AFFC3E10A69D
541839.89,2013-08-05,CC664699259C9867E735976611A82F64
159703.54,2013-08-19,155EBAC6C5A22D6CFD3518F6A0E9190C
82520.67,2013-08-17,D4CA68ECC21536DE406F3D58C7813241
62244.1,2013-08-20,21166F1430E0F4A28F3AA39B53D4A935
16622.73,2013-08-24,E2DF7E5E63A654B9A655FBDCC0B029BF
11355.33,2013-04-17,C767E6FAAE6A65D77701979221AE61CF
9564.05,2013-08-04,E523F84E85708BCEB9FEB6F7825C0E08
8145.9,2013-08-23,E2DF7E5E63A654B9A655FBDCC0B029BF
7043.84,2013-09-30,E77A964307CF49B32AD77E298A4951D0
